pha,diameter,albedo,diameter_sigma,epoch,epoch_mjd,epoch_cal,i,om,w,ma,ad,tp,tp_cal,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms
N,2.287,0.162,0.255,2459000.5,59000,20200531.0,3.682968045359831,310.9049052804818,351.6791525989789,154.4082695237924,2.713772768352247,2458369.5397300366,20180908.03973,4.5593e-08,1.8672e-08,1.0907e-07,4.4873e-06,7.5213e-05,8.5717e-05,4.4688e-05,2.0017e-08,2.7076e-09,0.00017947,1.6276e-05,0.61444
N,2.853,0.079,0.664,2459000.5,59000,20200531.0,4.150394862775054,134.0044510585485,227.7543676488971,72.4431642994325,2.882808447454166,2458690.933494541,20190726.4334945,4.6079e-08,1.3761e-08,1.2117e-07,3.7941e-06,7.5744e-05,7.9507e-05,2.244e-05,1.5211e-08,1.8521e-09,9.6469e-05,1.2175e-05,0.55412
N,8.347,0.37,0.297,2459000.5,59000,20200531.0,5.698980262435011,71.89878389604323,2.013815225013817,215.3214634529474,2.473542475999337,2459492.15405434,20211004.6540543,2.9176e-08,5.4583e-09,6.6266e-08,3.2531e-06,4.0037e-05,4.5116e-05,2.0899e-05,6.0312e-09,1.0763e-09,7.1635e-05,4.4744e-06,0.40271
N,3.752,0.262,0.083,2459000.5,59000,20200531.0,13.06567693144195,265.273446698625,122.9458123816956,134.9928056987254,2.975258390667316,2458443.1537966016,20181120.6537966,6.7262e-08,1.1949e-08,1.7559e-07,3.8608e-06,2.3327e-05,2.7111e-05,1.3564e-05,1.3948e-08,1.7032e-09,5.425e-05,1.0452e-05,0.47735
Y,0.129,0.421,0.013,2459000.5,59000,20200531.0,20.98118997215846,162.6236483165399,244.6678580448348,100.3735549481804,1.344012320305827,2458896.7382311174,20200217.2382311,4.9054e-07,1.8775e-08,4.8737e-07,3.1894e-05,7.4897e-06,2.8671e-05,0.00012298,2.4921e-08,2.6905e-08,0.00012435,1.0351e-05,0.399
N,73.87,0.0477,1.3,2459000.5,59000,20200531.0,14.86755583943085,250.6953923434238,348.403369474895,209.398612320027,3.451331525135528,2459859.2366216094,20221006.7366216,3.5605e-08,1.3792e-08,1.1155e-07,3.7972e-06,1.4575e-05,2.5187e-05,2.2053e-05,1.5059e-08,1.1478e-09,0.00012776,1.3435e-05,0.36606
N,4.594,0.04,0.229,2459000.5,59000,20200531.0,12.0140473040675,15.56376281922943,12.91354603991973,338.7744645164303,3.307996240152347,2459117.381972115,20200924.8819721,1.1358e-07,6.6496e-08,3.6691e-07,1.3941e-05,4.0999e-05,9.199e-05,8.7462e-05,7.1224e-08,5.865e-09,0.00048309,6.4025e-05,0.58233
N,3.44,0.103,0.7,2459000.5,59000,20200531.0,28.04774156625147,82.49754595237266,167.1489993995714,268.0229258510694,3.38632103027585,2459516.370035063,20211028.8700351,3.9538e-07,1.3545e-07,1.3015e-06,2.0122e-05,3.9571e-05,0.00035415,0.00041214,1.4671e-07,1.1587e-08,0.0023379,0.00013121,0.44128
N,1.792,0.263,0.455,2459000.5,59000,20200531.0,6.869589626949209,24.55663327130046,349.7443933631393,292.9915906048139,2.808456535294176,2459258.3047559867,20210212.804756,8.5345e-08,2.0402e-08,1.9949e-07,8.4142e-06,3.8939e-05,4.3459e-05,2.6734e-05,2.3563e-08,3.2711e-09,0.00010551,1.7431e-05,0.6092
N,3.605,0.054,0.687,2459000.5,59000,20200531.0,11.16526722397134,217.571450943678,207.4874541703359,289.8974432255308,3.112691944785464,2459294.039484706,20210320.5394847,9.1653e-08,2.344e-08,2.452e-07,9.5481e-06,2.2567e-05,2.8102e-05,1.6838e-05,2.8358e-08,3.2636e-09,7.274e-05,2.06e-05,0.58202
N,2.893,0.258,0.066,2459000.5,59000,20200531.0,6.131283594388115,53.17013839418998,254.8841999090918,37.05512033894352,2.591362751955283,2458879.421164879,20200130.9211649,4.5796e-08,9.7506e-09,1.0395e-07,5.2415e-06,3.6851e-05,4.0217e-05,1.9708e-05,1.1586e-08,2.0525e-09,6.4099e-05,7.8891e-06,0.49367
Y,0.762,0.025,0.004,2459000.5,59000,20200531.0,25.60186654995435,349.6291179465618,48.18386444958389,14.08657994686749,1.687747787586349,2458979.171630118,20200509.6716301,2.0251e-07,1.2878e-08,2.6496e-07,3.9177e-05,5.6753e-05,7.2343e-05,5.2102e-05,1.6644e-08,9.7698e-09,7.8703e-05,8.0629e-06,0.39428
N,2.85,0.239,0.469,2459000.5,59000,20200531.0,2.61784431150987,47.50844581208993,312.3191696431296,39.97522331422572,2.976746142240943,2458818.708615204,20191201.2086152,5.1352e-08,1.3542e-08,1.4307e-07,4.641e-06,0.00010686,0.00010904,2.1161e-05,1.4828e-08,1.6431e-09,9.6086e-05,1.2233e-05,0.59304
N,3.526,0.051,0.036,2459000.5,59000,20200531.0,14.4665311326391,198.6787278567363,235.2993273817289,126.7114710440718,3.279338987698647,2458433.506776699,20181111.0067767,6.3129e-08,2.1932e-08,1.696e-07,6.3491e-06,2.4034e-05,2.8368e-05,1.3839e-05,2.6743e-08,2.7337e-09,6.0527e-05,1.9705e-05,0.56271
N,6.682,0.048,0.18,2459000.5,59000,20200531.0,10.50249961076656,305.2157809276605,67.49847955978746,37.77845062794407,3.241199824648156,2458832.524225644,20191215.0242256,4.7007e-08,1.3693e-08,1.302e-07,4.7632e-06,2.345e-05,2.6732e-05,1.0477e-05,1.6573e-08,1.725e-09,4.6508e-05,1.2277e-05,0.5205
Y,4.0,0.05,0.5,2459000.5,59000,20200531.0,2.798294802795844,266.8177006839392,95.3701341193412,171.0177161907802,4.283357333507575,2458262.1575208646,20180523.6575209,3.9254e-08,4.954e-09,1.0419e-07,5.2523e-06,9.827e-05,9.8248e-05,3.1513e-06,8.0809e-09,6.5547e-10,1.2219e-05,4.3983e-06,0.54633
N,3.063,0.068,0.396,2459000.5,59000,20200531.0,7.35305164596555,169.174361641786,152.2018709112416,153.651228957582,2.686709752029925,2458372.236183898,20180910.7361839,5.9375e-08,1.5725e-08,1.496e-07,6.255e-06,3.2626e-05,4.9826e-05,3.7252e-05,1.6683e-08,2.2779e-09,0.00015117,1.371e-05,0.56587
N,6.726,0.043,0.148,2459000.5,59000,20200531.0,8.389533659460795,220.7720641058258,124.8542059602928,188.623627638716,3.244780561021687,2459783.9234146425,20220723.4234146,6.2056e-08,1.9891e-08,1.6786e-07,4.9155e-06,3.7348e-05,3.9434e-05,1.8914e-05,2.366e-08,2.3926e-09,9.2452e-05,1.8e-05,0.55971
N,1.929,0.189,0.34,2459000.5,59000,20200531.0,6.419729062016077,155.0565017795704,103.9572230608376,64.45039932251937,3.083504827287601,2458714.231078598,20190818.7310786,5.0235e-08,1.7306e-08,1.4049e-07,4.7758e-06,4.6303e-05,5.0249e-05,1.6325e-05,1.994e-08,2.1839e-09,7.2849e-05,1.5511e-05,0.49653
Y,0.152,0.306,0.003,2459000.5,59000,20200531.0,3.127656088147838,83.76534922824709,228.477506231864,0.7275013114738214,2.735842054496141,2458999.0242335205,20200529.5242335,8.757e-08,3.3487e-09,1.3913e-07,5.3345e-06,0.0001935,0.00018914,2.8589e-06,5.7727e-09,1.5602e-09,5.7967e-06,2.3113e-06,0.3898
N,1.682,0.299,0.417,2459000.5,59000,20200531.0,6.826034112450506,169.4881388462639,135.1972243974257,326.1114479562706,2.779024364338361,2459116.101889974,20200923.60189,3.7257e-08,7.75e-09,8.2602e-08,5.4316e-06,3.1013e-05,3.3032e-05,1.26e-05,9.5965e-09,1.5185e-09,4.3232e-05,6.361e-06,0.50183
Y,2.06,0.199,0.013,2459000.5,59000,20200531.0,5.304291691148097,168.1903993336454,147.0677904306691,197.8951597325679,2.927211332137809,2459452.4751376593,20210825.9751377,4.2408e-08,5.4232e-09,8.2474e-08,5.061e-06,3.841e-05,3.8749e-05,9.8674e-06,8.0914e-09,1.4871e-09,2.9079e-05,4.1618e-06,0.53498
N,8.205,0.06,0.162,2459000.5,59000,20200531.0,1.161962251153404,148.7419974854307,242.4477738756967,349.8515219735418,2.866073961855199,2459040.921861244,20200710.4218612,7.9348e-08,1.0891e-08,1.9338e-07,4.1463e-06,0.00024473,0.00024505,1.2812e-05,1.2543e-08,1.6481e-09,5.1122e-05,9.4127e-06,0.56744
N,3.119,0.138,0.352,2459000.5,59000,20200531.0,4.324533031479445,316.0528100743754,216.019633674349,104.4549201860805,2.861187794065457,2458523.677590222,20190209.1775902,6.7426e-08,2.4479e-08,1.8083e-07,5.7642e-06,8.9746e-05,0.00010705,5.7034e-05,2.5699e-08,2.9515e-09,0.00026102,2.2141e-05,0.58992
Y,0.204,0.267,0.03,2459000.5,59000,20200531.0,2.173379358161085,351.9315783002886,297.2156075747769,338.3567997330835,2.47735378402846,2459044.636234089,20200714.1362341,1.0162e-07,9.6805e-09,1.6097e-07,7.5047e-06,6.8688e-05,7.6313e-05,2.6978e-05,1.5058e-08,4.4709e-09,5.5356e-05,6.6934e-06,0.64261
N,1.366,0.041,0.113,2455310.5,55310,20100424.0,16.71377169992152,51.35468733747581,288.5406310694253,315.2240714488391,2.743360945215884,2455463.2822223753,20100923.7822224,0.64968,3.5959,1.3636,4.7745,19.884,244.14,241.67,4.3948,0.70424,458.58,2951.7,0.75881
Y,0.653,0.079,0.009,2459000.5,59000,20200531.0,12.20643101438176,182.7338974319579,325.7925853048099,304.1187376656965,3.543515598496263,2459193.075900804,20201209.5759008,2.5054e-08,1.4208e-07,2.1306e-08,2.5403e-06,2.5411e-06,7.6787e-06,6.359e-05,2.2281e-07,2.7369e-08,0.0002373,0.00011701,0.28975
N,3.144,0.065,0.519,2459000.5,59000,20200531.0,5.977054091157772,65.94237200165884,50.66955931727769,270.4156771347446,3.483085249865757,2459503.4112711996,20211015.9112712,8.2727e-08,5.1965e-08,2.3452e-07,9.2192e-06,0.00011479,0.00013406,7.3535e-05,5.7858e-08,4.4385e-09,0.00041964,5.0356e-05,0.68245
N,2.968,0.167,1.17,2459000.5,59000,20200531.0,13.77647663554529,156.0775607063656,38.50544586613164,351.8252453878951,3.237202842832099,2459042.815817525,20200712.3158175,8.8511e-08,2.8538e-08,2.7173e-07,7.1482e-06,1.9579e-05,3.3348e-05,2.6683e-05,3.1172e-08,2.7904e-09,0.00013825,2.6917e-05,0.5879
N,3.077,0.296,0.467,2459000.5,59000,20200531.0,8.354676021285812,207.951430221213,129.8827229271181,39.99382476855494,3.130358929541389,2458818.3230854445,20191130.8230854,3.4322e-08,1.4523e-08,9.6453e-08,4.2867e-06,2.4783e-05,2.924e-05,1.3869e-05,1.6705e-08,1.7573e-09,6.3045e-05,1.3127e-05,0.5137
N,8.313,0.06,0.034,2459000.5,59000,20200531.0,29.98821924462959,103.3364973979969,40.04365302286674,174.4465585659361,3.093750034381816,2458258.9600007697,20180520.4600008,5.3091e-08,1.6477e-08,1.3779e-07,6.7237e-06,9.7461e-06,1.9635e-05,1.6852e-05,1.9615e-08,2.2372e-09,6.8519e-05,1.4553e-05,0.48803
Y,0.785,0.125,0.009,2459000.5,59000,20200531.0,13.47389123529826,104.5058429265188,294.3400744544455,353.158978098206,1.319509657977746,2459007.9262580746,20200607.4262581,4.5521e-08,3.1805e-09,4.7173e-08,5.1465e-06,1.5641e-05,1.6625e-05,2.1256e-05,4.0118e-09,4.2011e-09,2.3098e-05,1.7822e-06,0.41383
Y,0.562,0.097,0.019,2459000.5,59000,20200531.0,1.642393140636203,210.6428273654869,111.8392039702358,188.8269730912665,1.72666947239766,2459184.7538503036,20201201.2538503,3.9125e-08,8.5079e-09,4.0443e-08,2.5998e-06,0.00015736,0.00015666,1.146e-05,1.4122e-08,1.1397e-08,1.3105e-05,4.7541e-06,0.48926
N,5.065,0.173,0.122,2459000.5,59000,20200531.0,11.348313952201,91.11615483627182,223.954752984096,17.37053924836767,3.273007227538364,2458910.2500071246,20200301.7500071,4.4867e-08,2.2973e-08,1.4356e-07,5.0622e-06,2.528e-05,3.8646e-05,2.8198e-05,2.5309e-08,2.2324e-09,0.00014666,2.1695e-05,0.55999
Y,0.423,0.161,0.029,2459000.5,59000,20200531.0,8.709890608026386,53.86603028847991,301.9235960543988,43.32211224426758,1.162312414035396,2458953.945716469,20200414.4457165,4.3072e-08,3.4478e-09,4.3777e-08,7.1986e-06,1.5768e-05,3.2996e-05,2.4553e-05,3.8568e-09,4.6317e-09,2.6379e-05,1.9255e-06,0.48646
N,5.002,0.054,0.736,2459000.5,59000,20200531.0,4.024249895358308,308.9420262959709,105.0113005995171,187.9406515200493,3.018828022684974,2459783.9159132414,20220723.4159132,6.6197e-08,1.9818e-08,1.7874e-07,5.9779e-06,0.0001123,0.00011686,3.2752e-05,2.199e-08,2.3997e-09,0.00015128,1.791e-05,0.55963
N,8.015,0.033,0.586,2459000.5,59000,20200531.0,25.26717077709673,196.1633424233946,84.84202078773365,94.80086159330702,3.829215635938512,2458473.609725782,20181221.1097258,4.4838e-08,2.3765e-08,1.3403e-07,7.4414e-06,1.0519e-05,1.9197e-05,1.4866e-05,2.9285e-08,2.064e-09,8.1548e-05,2.2953e-05,0.55662
N,2.848,0.046,0.841,2459000.5,59000,20200531.0,5.100914743205105,61.3827858895105,280.8207562527323,323.5941124110105,3.020014894634724,2459149.3021841794,20201026.8021842,7.8707e-08,1.7012e-08,2.0272e-07,4.8323e-06,9.0055e-05,9.0814e-05,1.55e-05,2.0293e-08,2.4659e-09,6.4291e-05,1.4831e-05,0.61592
N,2.995,0.26,0.363,2459000.5,59000,20200531.0,11.76040867898086,300.3026862800973,229.7912949868799,273.1191292008123,2.851254159191232,2459360.1417802656,20210525.6417803,5.6316e-08,1.6736e-08,1.4864e-07,5.2288e-06,2.4168e-05,3e-05,1.8886e-05,1.8689e-08,2.3752e-09,7.9265e-05,1.4652e-05,0.51979
N,1.947,0.203,0.26,2459000.5,59000,20200531.0,0.9860349702871236,149.691140510901,99.6234529414254,19.0465270321877,2.524597512978896,2458939.846223047,20200331.346223,3.0465e-08,7.4502e-09,6.2538e-08,4.3315e-06,0.00017753,0.00017816,1.8834e-05,8.774e-09,1.637e-09,5.978e-05,5.9764e-06,0.55151
N,4.785,0.04,2.071,2459000.5,59000,20200531.0,11.36728522881366,165.6298997256833,245.047504887775,91.42388342501444,3.146766374751317,2458601.374318429,20190427.8743184,4.0443e-08,1.5123e-08,1.0421e-07,5.1224e-06,1.8921e-05,2.3285e-05,1.2529e-05,1.7988e-08,1.9641e-09,5.3502e-05,1.3476e-05,0.62153
N,2.255,0.24,0.072,2459000.5,59000,20200531.0,11.35444747832606,138.9448292951697,331.4452762391086,263.5983210648703,3.01155722121283,2459370.5081918207,20210605.0081918,5.8767e-08,1.7383e-08,1.3425e-07,6.6e-06,2.9302e-05,3.4711e-05,2.1022e-05,2.1562e-08,2.7981e-09,8.3626e-05,1.4839e-05,0.58234
N,5.703,0.197,0.137,2459000.5,59000,20200531.0,3.084326457062659,125.9089247358209,295.8918804644819,296.0066026796134,3.044846297221901,2459319.0233943234,20210414.5233943,4.2218e-08,1.5897e-08,1.2151e-07,4.2164e-06,0.00010054,0.0001127,4.9492e-05,1.6766e-08,1.6593e-09,0.00024649,1.48e-05,0.49982
N,3.906,0.096,0.893,2459000.5,59000,20200531.0,28.76016648386165,295.7809885434069,324.0685603108124,302.9249834130487,3.250832054428748,2459243.900522411,20210129.4005224,4.5699e-08,2.1108e-08,1.2304e-07,6.515e-06,1.2804e-05,2.2262e-05,2.2504e-05,2.6347e-08,2.8507e-09,9.7066e-05,1.8664e-05,0.57265
Y,0.402,0.021,0.006,2459000.5,59000,20200531.0,1.682625715729447,144.3187031049349,63.67702095640459,110.3287640750175,4.344648128608768,2458510.3661555736,20190126.8661556,1.332e-05,9.0283e-05,1.6422e-06,2.9222e-05,0.00019615,0.00018331,0.042584,0.00014656,1.139e-05,0.16438,0.080923,0.50835
N,3.284,0.375,0.587,2459000.5,59000,20200531.0,7.065790168094618,191.572307832234,48.56894925083442,275.3819304343301,2.794576450129591,2459345.9346882496,20210511.4346882,4.1861e-08,1.1769e-08,1.0688e-07,4.2926e-06,3.1179e-05,3.5145e-05,1.7202e-05,1.3001e-08,1.7095e-09,7.0539e-05,1.0256e-05,0.50224
N,2.905,0.053,0.909,2455228.5,55228,20100201.0,23.66733325036729,246.6976841771234,340.4477212375054,202.3481793413192,2.570528301566675,2455872.4890524335,20111106.9890524,1.9605,8.0615,12.889,11.583,15.722,8191.8,8356.6,8.1881,1.1697,31256.0,7026.4,0.43067
N,9.068,0.041,0.356,2459000.5,59000,20200531.0,1.968993478149918,114.2028227451284,214.8567944480731,138.3665631904924,3.685873229841508,2458216.4921335713,20180407.9921336,5.524e-08,2.3373e-08,1.7256e-07,4.8379e-06,0.00016338,0.00016394,1.4903e-05,2.7369e-08,1.9657e-09,8.2993e-05,2.272e-05,0.51641
N,4.014,0.044,0.279,2459000.5,59000,20200531.0,6.003114511649418,174.7348193517646,214.4430138075039,356.9598989635599,3.58979835168635,2459017.309318713,20200616.8093187,5.8783e-08,4.1466e-08,1.9767e-07,7.2809e-06,4.7643e-05,5.234e-05,2.3251e-05,4.8067e-08,3.6325e-09,0.00012874,3.9979e-05,0.61488
Y,0.159,0.121,0.02,2459000.5,59000,20200531.0,20.07786464878992,154.8818590844176,101.791706151481,345.2922659789172,2.402260826592309,2459030.6532673948,20200630.1532674,1.7192e-07,3.4902e-08,2.6674e-07,5.2963e-05,2.026e-05,5.4826e-05,8.2595e-05,5.2457e-08,1.5977e-08,0.00017022,2.4175e-05,0.57161
Y,0.712,0.03,0.246,2459000.5,59000,20200531.0,19.86336850187285,9.02717959114733,20.35385331086308,79.71504361320454,4.284639486560588,2458651.277773962,20190616.777774,0.00015699,0.001013,2.7301e-05,0.00090493,0.0022152,0.0070383,0.4687,0.0016369,0.00013081,1.8532,0.90378,0.48232
Y,1.407,0.224,0.085,2459000.5,59000,20200531.0,42.34760577168322,132.0297674657441,300.6942837280881,236.7942573643446,2.652820114627073,2459286.351068646,20210312.8510686,2.4085e-08,2.6965e-09,4.1415e-08,6.559e-06,4.748e-06,6.8723e-06,7.6414e-06,4.1213e-09,1.0044e-09,1.834e-05,1.9464e-06,0.48131
N,2.549,0.068,0.305,2459000.5,59000,20200531.0,6.669186170744013,108.4301315696278,274.6839238120885,166.1080874301299,2.593059647454255,2458428.346696908,20181105.8466969,5.0437e-08,9.348e-09,1.141e-07,4.5172e-06,4.7296e-05,4.9884e-05,1.6133e-05,1.0731e-08,1.8022e-09,5.4523e-05,7.6975e-06,0.50444
N,5.153,0.055,0.146,2459000.5,59000,20200531.0,16.59374600001795,210.8538460345854,178.4671072376609,98.08483228759988,3.090257319022273,2458525.2855887115,20190210.7855887,5.3043e-08,2.3951e-08,1.5563e-07,6.1718e-06,1.8279e-05,3.477e-05,2.9778e-05,2.6101e-08,2.6149e-09,0.00014336,2.2097e-05,0.54895
N,4.988,0.163,0.162,2459000.5,59000,20200531.0,12.0419092490459,66.2227654603236,328.2418131846674,26.44337150740019,3.312806195580137,2458860.98213447,20200112.4821345,4.8213e-08,2.1314e-08,1.4754e-07,4.3957e-06,2.077e-05,2.8692e-05,1.8492e-05,2.3525e-08,2.0189e-09,9.7571e-05,2.0232e-05,0.51407
N,2.375,0.038,0.58,2459000.5,59000,20200531.0,5.378121125592262,127.3032869388019,76.41761053767894,67.59485262763808,2.790250320438906,2458690.459615888,20190725.9596159,1.2529e-07,6.1493e-08,3.3658e-07,9.7743e-06,0.00014135,0.00027552,0.00023242,6.2757e-08,7.3554e-09,0.0010693,5.5708e-05,0.76483
N,2.285,0.195,0.469,2459000.5,59000,20200531.0,1.711743273847978,251.7089146501772,96.92037195359734,212.2190871699835,2.974228451248345,2459633.7419059,20220223.2419059,5.741e-08,1.7718e-08,1.5886e-07,3.2001e-06,0.00018757,0.00018793,1.3654e-05,2.0169e-08,2.3738e-09,6.2213e-05,1.5691e-05,0.5527
Y,0.4,0.137,0.05,2459000.5,59000,20200531.0,7.437222995596112,93.37502609412356,234.9487884411268,184.1977433784124,1.038052021366103,2459167.797390291,20201114.2973903,2.9657e-08,3.1565e-08,5.3181e-08,1.8334e-06,1.6351e-06,2.1293e-05,0.00022833,3.4197e-08,5.1927e-08,0.00022554,1.6929e-05,0.27032
N,7.425,0.073,0.181,2459000.5,59000,20200531.0,16.78142252268402,119.028887178765,230.3150219678905,265.0382860261197,3.508237306797019,2459519.0397449103,20211031.5397449,5.5107e-08,2.4192e-08,1.7508e-07,6.2015e-06,2.3236e-05,3.3062e-05,2.482e-05,2.7636e-08,2.1639e-09,0.00013789,2.3228e-05,0.56382
N,2.08,0.078,0.343,2455333.5,55333,20100517.0,7.683905896168805,173.0152705370749,220.9479793149181,136.9086389034651,2.453755292981629,2454853.113192023,20090121.613192,7.9436,20.664,37.296,7.8169,55.485,1987.0,1630.0,22.172,3.8629,1692.2,17121.0,0.41609
Y,0.754,0.449,0.023,2459000.5,59000,20200531.0,26.4621905029404,155.7617641944126,197.8358953892474,27.32502637912115,1.014604436681339,2458985.5729269995,20200516.072927,1.0499e-07,1.5004e-09,6.9366e-08,3.4212e-05,1.8501e-05,2.3082e-05,5.1775e-05,2.3002e-09,6.225e-09,2.8259e-05,6.6876e-07,0.44147
N,4.252,0.081,0.236,2459000.5,59000,20200531.0,12.62654514061852,104.1949991510852,257.1017366852499,251.9581771886812,3.368996330721207,2459449.377075195,20210822.8770752,5.6038e-08,1.5295e-08,1.4762e-07,4.6454e-06,2.4752e-05,2.7121e-05,1.0519e-05,2.0132e-08,2.1574e-09,4.3226e-05,1.3406e-05,0.53866
Y,0.379,0.023,0.129,2459000.5,59000,20200531.0,15.15978577976589,11.5129375209822,50.3885475563537,85.7387072018051,1.384959066202251,2458893.5436458346,20200214.0436458,5.5946e-07,2.8216e-08,6.5315e-07,4.3121e-05,2.2091e-05,9.4948e-05,0.00010377,3.405e-08,2.9562e-08,0.00012653,1.6561e-05,0.55221
N,1.933,0.568,0.261,2459000.5,59000,20200531.0,6.786170188382093,138.8691750671154,321.1100146520948,245.9209543243263,2.674521290203463,2459445.5499444553,20210819.0499445,3.9927e-08,1.1445e-08,9.8471e-08,4.0727e-06,3.4851e-05,4.097e-05,2.2431e-05,1.2471e-08,1.7929e-09,8.8466e-05,9.8235e-06,0.54385
N,3.773,0.164,0.834,2459000.5,59000,20200531.0,10.30238226785128,139.2886182633238,183.994473260412,189.2228535767686,3.330085948319603,2459929.9236244545,20221216.4236245,4.2896e-08,2.2037e-08,1.3009e-07,4.7874e-06,2.113e-05,3.0596e-05,2.3182e-05,2.3949e-08,1.9821e-09,0.00012978,2.1135e-05,0.58179
Y,0.273,0.065,0.105,2459000.5,59000,20200531.0,14.59181116348,199.8609774144936,197.3162943810261,28.86283312482281,2.044906509595269,2458945.454519487,20200405.9545195,4.473e-07,1.3733e-07,7.5885e-07,2.2369e-05,4.3891e-05,0.00016171,0.0003049,1.8438e-07,7.0916e-08,0.00057406,9.2857e-05,0.27398
N,1.785,0.319,0.389,2459000.5,59000,20200531.0,7.82845149698578,141.984236693775,127.6175678666517,96.70441666229178,3.090244330394437,2458584.26000532,20190410.7600053,4.2411e-08,1.5386e-08,1.1122e-07,7.2237e-06,3.2959e-05,4.1088e-05,2.0827e-05,1.8144e-08,2.0461e-09,8.9734e-05,1.3647e-05,0.57852
N,3.906,0.046,0.868,2459000.5,59000,20200531.0,17.76021712741542,214.5921386946519,112.0770347924739,230.6903396098578,3.706025267639489,2459753.1473878487,20220622.6473878,5.4785e-08,5.7672e-08,1.7731e-07,1.1714e-05,1.9522e-05,4.121e-05,3.6868e-05,6.6695e-08,4.6379e-09,0.00022358,5.6564e-05,0.58598
N,9.009,0.05,0.31,2459000.5,59000,20200531.0,13.04451214866019,335.3086558030839,349.0483632459251,145.5339164062978,3.629132144743394,2458153.5713193486,20180204.0713193,7.5372e-08,3.2064e-08,2.3536e-07,7.476e-06,2.3459e-05,3.3658e-05,2.8152e-05,3.6316e-08,2.5793e-09,0.00015859,3.1446e-05,0.56396
Y,0.492,0.046,0.02,2455562.5,55562,20110101.0,6.034939533607825,2.060867329373625,66.22306846088361,101.7039479473255,1.355887687702265,2455439.141945785,20100830.6419458,2.2082e-08,4.0261e-11,2.486e-08,2.8213e-06,3.9444e-06,6.0706e-06,2.6478e-06,4.8464e-11,4.4203e-11,3.2088e-06,2.3411e-08,0.27502
N,3.565,0.038,0.991,2459000.5,59000,20200531.0,11.57261862371958,340.6687712095188,202.634164856495,196.9085766171347,3.213744668120618,2459729.0646436936,20220529.5646437,7.6757e-08,2.5027e-08,2.0024e-07,9.8866e-06,2.9131e-05,3.5439e-05,2.4224e-05,2.9941e-08,3.1283e-09,0.00011438,2.2474e-05,0.57192
N,3.343,0.083,0.551,2459000.5,59000,20200531.0,17.64679493589616,312.6886426556608,83.98481816503194,262.9813212345673,3.466977267429378,2459525.608327055,20211107.1083271,9.1269e-08,6.1674e-08,3.0109e-07,1.3935e-05,2.9546e-05,6.4465e-05,6.358e-05,7.0036e-08,5.5984e-09,0.00035431,5.9041e-05,0.59356
N,6.61,0.084,0.152,2459000.5,59000,20200531.0,16.59922444137591,299.27253545,177.3158520659416,224.4549272126683,3.612005757200697,2459790.8761177715,20220730.3761178,9.7849e-08,3.9998e-08,3.1487e-07,1.0789e-05,2.2128e-05,4.4801e-05,3.3972e-05,4.5028e-08,3.2068e-09,0.00020076,3.9254e-05,0.57721
Y,0.34,0.23,0.04,2454733.5,54733,20080924.0,3.331369520013644,204.4460289189818,126.401879524849,180.429373045644,1.098804174228623,2454894.9125195034,20090304.4125195,5.3461e-09,4.1547e-10,4.7439e-09,3.5025e-07,2.1065e-05,2.0643e-05,5.4642e-06,4.9491e-10,7.5161e-10,5.0014e-06,2.1863e-07,0.2745
N,2.557,0.074,0.384,2459000.5,59000,20200531.0,17.14575326915308,116.5231641048184,312.7888771191989,228.0219602352532,3.963660404700298,2459754.8964604535,20220624.3964605,3.3359e-07,3.9208e-07,1.267e-06,1.974e-05,3.3825e-05,0.00013725,5.8473e-05,4.9084e-07,3.2496e-08,0.00030242,0.00038224,0.75087
N,3.533,0.39,0.331,2459000.5,59000,20200531.0,6.990824659212571,164.1089171979565,297.7883218919922,58.98804390325644,2.790969716054695,2458761.6088899574,20191005.10889,4.0162e-08,8.2224e-09,1.0035e-07,5.1309e-06,2.3802e-05,3.5266e-05,2.3922e-05,9.1199e-09,1.2103e-09,9.6793e-05,7.1461e-06,0.50679
N,2.138,0.267,0.321,2459000.5,59000,20200531.0,4.363077381411789,249.1686339311771,332.2944988231056,215.1423685028775,2.724407030108048,2459562.966121102,20211214.4661211,6.8887e-08,1.5687e-08,1.6314e-07,5.1244e-06,7.0404e-05,7.2729e-05,2.0133e-05,1.7468e-08,2.4769e-09,8.0169e-05,1.3444e-05,0.58662
N,2.972,0.05,0.057,2459000.5,59000,20200531.0,2.28971156869898,114.6669087933817,354.3812083537816,287.5412605317857,2.766023280480191,2459269.3279456818,20210223.8279457,3.8555e-08,1.2382e-08,9.1383e-08,4.4705e-06,0.0001363,0.00013758,2.1385e-05,1.443e-08,2.1091e-09,8.0661e-05,1.0451e-05,0.60428
Y,3.484,0.076,0.789,2459000.5,59000,20200531.0,10.76369028541032,41.49231383408137,102.4329490334045,9.239182399114164,3.15358883215033,2458975.4872144265,20200505.9872144,3.9261e-08,3.1132e-09,7.5636e-08,4.5785e-06,1.8789e-05,1.9067e-05,3.4827e-06,5.1034e-09,8.9665e-10,9.3879e-06,2.3658e-06,0.49396
